# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
51,1776,0.607183,1.595535,2.753585
51,1711,0.698932,1.601517,2.770353
51,1700,0.622142,1.556120,2.072142
49,1679,0.585167,1.436439,2.419043
50,1695,0.450155,1.372422,2.480968
50,1694,0.595973,1.461923,2.467481
50,1691,0.447563,1.335471,1.742377
51,1713,0.424402,1.274626,2.343085
51,1705,0.498196,1.429184,1.816183
50,1698,0.460402,1.240171,2.164425
51,1732,0.452374,1.192145,2.392564
51,1731,0.534936,1.287925,2.328947
51,1725,0.448165,1.231260,1.647539
52,1755,0.454537,1.132312,2.316442
52,1755,0.508653,1.336420,2.348490
51,1743,0.432486,1.190605,1.486634
52,1780,0.418047,1.206636,2.167646
52,1773,0.465208,1.240511,1.719831
52,1773,0.483497,1.232387,2.130061
53,1791,0.370444,1.189306,2.180361
53,1778,0.417262,1.244848,1.820031
53,1778,0.497710,1.254911,2.269629
53,1778,0.707111,1.952984,3.760737
53,1778,0.742764,2.042567,3.484931
53,1778,0.527635,1.243696,2.206800
54,1788,0.364890,1.146927,2.235988
54,1788,0.602370,1.385221,2.303339
53,1776,0.435005,1.189470,1.750748
53,1776,0.738243,2.018954,3.683514
54,1831,0.450905,1.262755,2.451102
54,1809,0.554147,1.312282,2.408384
54,1804,0.426945,1.206070,1.973194
54,1804,0.783936,2.088411,4.071180
54,1804,0.504462,1.253284,2.446731
54,1804,0.545453,1.413207,2.760487
54,1804,0.710797,1.902332,4.064367
54,1804,0.830911,2.053545,4.107840
54,1804,0.610586,1.662015,3.216756
54,1804,0.704151,1.827474,3.962271
55,1809,0.497132,1.247944,2.572535
55,1808,0.566885,1.395032,2.618156
55,1806,0.463589,1.186862,2.014971
55,1806,0.615288,1.482351,3.060829
55,1806,0.831527,2.124592,4.490898
55,1806,0.733262,1.852935,3.769869
55,1806,0.732267,1.798096,3.892778
55,1806,0.821418,2.081359,3.942193
55,1806,0.547710,1.243909,2.594441
55,1806,0.591664,1.404389,2.887916
56,1803,0.526711,1.215236,2.508736
56,1799,0.607405,1.247657,2.581223
56,1797,0.491393,1.206068,1.947603
56,1797,0.689696,1.571074,3.392154
56,1797,0.981667,2.448144,4.746373
56,1797,0.755155,1.631727,3.399025
57,1799,0.545256,1.212427,2.656236
57,1796,0.637404,1.472037,2.513701
56,1792,0.496062,1.185013,1.975695
56,1792,0.732270,1.721413,3.784357
56,1792,0.932243,2.300748,4.503601
57,1796,0.568128,1.365606,2.965585
57,1795,0.623969,1.265980,2.589477
57,1793,0.505424,1.188593,1.957985
57,1793,0.865701,2.066110,4.082876
57,1793,0.762607,1.695918,3.395360
57,1793,0.667303,1.494441,3.238210
57,1793,0.870253,2.012213,4.140863
57,1793,0.766393,1.773182,3.622355
57,1793,0.606712,1.307936,2.785841
57,1793,0.920692,2.186845,4.943936
58,1800,0.611044,1.339086,2.824929
58,1796,0.675309,1.288856,2.689051
58,1796,0.575654,1.271371,2.250367
56,1788,0.504554,1.209809,2.565202
56,1788,0.835091,2.046421,4.185077
56,1788,0.588469,1.218962,2.521368
56,1788,0.585958,1.340033,2.806543
56,1788,0.832066,2.005316,4.563353
56,1788,0.840844,2.026570,3.956479
56,1788,0.565687,1.230667,2.497595
57,1796,0.434550,1.142317,2.478138
57,1796,0.553888,1.224019,2.557252
56,1791,0.482012,1.163323,1.920663
56,1791,0.846411,2.040080,4.076392
56,1791,0.570665,1.286279,2.568612
57,1792,0.439902,1.176643,2.508485
57,1791,0.528630,1.242438,2.019600
56,1787,0.499192,1.173961,2.442961
56,1787,0.844992,2.074042,4.147329
56,1787,0.557158,1.196980,2.594827
56,1787,0.585408,1.340597,2.861143
56,1787,0.764892,1.816785,4.146038
56,1787,0.853169,1.997852,3.961413
56,1787,0.620396,1.441438,3.074077
56,1787,0.844251,2.043212,4.460497
57,1788,0.556749,1.290121,2.545224
57,1788,0.587739,1.230617,2.519216
56,1783,0.471235,1.181501,1.963614
56,1783,0.850449,2.038633,4.170886
56,1783,0.838955,1.981837,3.975131
56,1783,0.791684,1.750050,3.750536
56,1783,0.621738,1.435827,2.772175
56,1783,0.843679,2.016369,4.093191
56,1783,0.542040,1.192269,2.532447
56,1783,0.845047,1.988983,3.940866
57,1791,0.489029,1.213005,2.517305
57,1787,0.574206,1.220714,2.534912
57,1787,0.523198,1.225621,1.970917
56,1782,0.842631,2.006252,4.228202
56,1782,0.540331,1.190819,2.479950
56,1782,0.840541,2.008110,4.060386
56,1782,0.730557,1.620277,3.366174
56,1782,0.575356,1.288760,2.740748
56,1782,0.838195,2.034769,4.084383
56,1782,0.620050,1.402998,3.024293
57,1785,0.514348,1.177923,2.508634
57,1783,0.578029,1.252952,2.596540
56,1779,0.448318,1.219544,1.916828
56,1779,0.607832,1.353408,2.840022
56,1779,0.766464,1.873349,4.167801
56,1779,0.830214,1.946963,3.947202
56,1779,0.708921,1.669824,3.746936
56,1779,0.834760,2.018729,4.017886
56,1779,0.739120,1.589132,3.450893
56,1779,0.592684,1.346689,2.740647
57,1788,0.621630,1.523313,3.205008
57,1785,0.585816,1.313306,2.565175
57,1785,0.574022,1.278529,2.011478
56,1782,0.522740,1.205604,2.573596
56,1782,0.726173,1.722928,3.872539
56,1782,0.793928,1.954906,4.302268
56,1782,1.114783,2.388614,4.960603
56,1782,0.715431,1.703836,3.439902
56,1782,0.821660,1.929376,4.413749
56,1782,0.980878,2.158931,4.538191
57,1782,0.572333,1.191219,2.487950
57,1781,0.577614,1.283429,2.552573
56,1778,0.526575,1.200060,1.999770
56,1778,0.735389,1.713417,3.827245
56,1778,0.944572,2.274916,4.315152
56,1778,0.668034,1.603248,2.970320
56,1778,0.642019,1.457514,3.115172
56,1778,0.783026,1.850149,4.190602
56,1778,0.828929,2.004436,4.428110
56,1778,0.732128,1.737190,3.760476
57,1782,0.517088,1.185947,2.576209
57,1782,0.601486,1.244504,2.489889
56,1777,0.510898,1.245798,1.972370
55,1771,0.516757,1.221446,2.551507
55,1771,0.793002,1.911046,4.404819
55,1771,0.874342,2.068367,4.259344
55,1771,0.706221,1.628198,3.390593
55,1771,0.825464,2.024999,4.125274
55,1771,0.530621,1.186105,2.561948
55,1771,0.827964,2.007225,4.032465
56,1787,0.622296,1.570491,3.182275
56,1774,0.603352,1.293636,2.665528
55,1759,0.440529,1.157644,1.962112
55,1759,0.603629,1.427566,3.079187
55,1759,0.924072,2.254464,4.611356
55,1759,0.950184,2.230754,4.576528
55,1759,0.828474,1.977501,4.047915
55,1759,0.733832,1.717706,3.609218
55,1759,0.828798,1.763813,3.898124
55,1759,0.852270,1.988637,4.182004
56,1772,0.631614,1.517586,3.320329
56,1761,0.588606,1.274318,2.567222
56,1758,0.514745,1.229037,1.960908
55,1757,0.515159,1.196030,2.589760
55,1757,0.833752,2.086503,3.960757
55,1757,0.541951,1.164495,2.564224
55,1757,0.841952,1.981907,4.095127
55,1757,0.597144,1.196970,2.530364
55,1757,0.853998,1.925572,3.937166
55,1757,0.626456,1.451369,3.184601
56,1752,0.508206,1.208639,2.598179
56,1752,0.584157,1.384635,2.483281
55,1750,0.701469,1.254188,2.124858
55,1750,0.558825,1.230942,2.492115
55,1750,0.552384,1.208170,2.469602
55,1750,0.855289,2.106249,4.638683
55,1750,0.804196,1.932269,4.060185
55,1750,0.822080,1.949665,3.830614
55,1750,0.731853,1.702289,3.653114
55,1750,0.813262,1.858510,3.817280
56,1753,0.498483,1.158405,2.499430
56,1752,0.599929,1.361965,2.504861
55,1752,0.445494,1.180974,1.871809
55,1752,0.700393,1.685767,3.567551
55,1752,0.958703,2.148731,4.418741
55,1752,0.694557,1.451316,3.109990
55,1752,0.752488,1.806593,4.041338
55,1752,0.813319,1.959359,3.746352
55,1752,0.627576,1.478002,3.187961
55,1752,0.823853,1.971712,4.040849
56,1752,0.520961,1.240684,2.429521
56,1751,0.594104,1.402209,2.475481
56,1749,0.567164,1.234586,2.238279
56,1749,0.581615,1.254556,2.586731
56,1749,0.777626,1.811705,4.033375
56,1749,0.937181,1.957467,4.099491
56,1749,0.658674,1.508351,3.242979
56,1749,0.843886,1.965570,3.910374
56,1749,0.558138,1.162029,2.510703
56,1749,0.589030,1.290398,2.705275
57,1753,0.621732,1.126525,2.396551
57,1753,0.577106,1.296482,2.502059
56,1753,0.472126,1.147236,1.881826
56,1753,0.627298,1.417860,3.003106
56,1753,0.972234,2.348036,5.080569
56,1753,0.744572,1.739107,3.862731
56,1753,1.003704,2.259454,4.582659
56,1753,0.855445,1.741490,3.759986
56,1753,0.553291,1.175769,2.446907
56,1753,0.830298,1.974749,3.861293
57,1764,0.521210,1.169716,2.463108
57,1757,0.572795,1.223605,2.586067
56,1751,0.505977,1.127420,1.995898
56,1751,1.029688,2.229690,4.598932
56,1751,0.738915,1.662425,3.204236
56,1751,0.844122,1.969377,4.067975
56,1751,0.560046,1.257498,2.430737
56,1751,0.840430,1.966675,4.003182
56,1751,0.607472,1.296587,2.711177
