#KF insert[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,0.000000,0.523544,0.037134,3.156469,0.078977,13.850461
0.000000,0.000000,0.000000,1.126458,0.042271,3.974676,0.032849,13.678498
0.000000,0.000000,0.000000,0.796630,0.040366,3.267943,0.075067,29.822460
0.000000,0.000000,0.000000,0.863191,0.049558,4.193124,0.025715,21.494575
0.000000,0.000000,0.000000,0.714992,0.043497,3.405600,0.075349,37.313779
0.000000,0.000000,0.000000,0.498055,0.044153,4.288283,0.026504,23.723404
0.000000,0.000000,0.000000,0.504008,0.042576,3.525766,0.073033,13.533710
0.000000,0.000000,0.000000,0.475782,0.045247,4.534321,0.028119,14.610270
0.000000,0.000000,0.000000,0.517395,0.042376,3.920606,0.015508,13.805326
0.000000,0.000000,0.000000,1.005654,0.084696,7.426871,0.026905,15.562612
0.000000,0.000000,0.000000,0.522520,0.044639,4.481658,0.017558,39.159628
0.000000,0.000000,0.000000,0.490309,0.083472,7.255845,0.025404,17.125114
0.000000,0.000000,0.000000,0.502237,0.044733,4.614934,0.019042,13.871531
0.000000,0.000000,0.000000,0.493968,0.055517,5.277414,0.089588,14.589542
0.000000,0.000000,0.000000,0.484441,0.051449,5.125366,0.038663,13.654020
0.000000,0.000000,0.000000,0.948715,0.058735,4.253404,0.082091,14.629375
0.000000,0.000000,0.000000,0.526587,0.042385,4.958672,0.037250,40.724423
0.000000,0.000000,0.000000,0.491531,0.062330,4.748382,0.028372,15.664484
0.000000,0.000000,0.000000,0.506540,0.105494,8.902337,0.039179,13.837010
0.000000,0.000000,0.000000,0.477502,0.065547,6.660795,0.093120,14.857328
0.000000,0.000000,0.000000,0.484123,0.040158,5.224062,0.034019,13.785631
0.000000,0.000000,0.000000,0.478827,0.055607,4.893745,0.031862,14.943945
0.000000,0.000000,0.000000,0.486910,0.057316,5.510306,0.099215,13.894854
0.000000,0.000000,0.000000,0.509037,0.041568,5.314562,0.038410,15.185963
0.000000,0.000000,0.000000,0.490670,0.059309,5.853451,0.041738,14.409152
0.000000,0.000000,0.000000,0.507797,0.057144,5.124880,0.106228,15.764257
0.000000,0.000000,0.000000,0.855280,0.045906,5.544017,0.039055,14.672879
0.000000,0.000000,0.000000,0.499566,0.071168,5.531632,0.044154,44.791555
0.000000,0.000000,0.000000,0.858774,0.050350,4.701458,0.100374,15.805167
0.000000,0.000000,0.000000,0.500079,0.042021,5.112040,0.040848,41.511873
0.000000,0.000000,0.000000,0.560515,0.061596,5.232764,0.051235,15.299903
0.000000,0.000000,0.000000,0.499750,0.052157,4.615970,0.100926,17.389952
0.000000,0.000000,0.000000,0.479865,0.042308,5.118549,0.033555,16.282050
0.000000,0.000000,0.000000,0.487654,0.056955,4.533592,0.038057,14.627335
0.000000,0.000000,0.000000,0.489516,0.097134,9.451083,0.130051,15.345979
0.000000,0.000000,0.000000,1.019245,0.047218,5.529120,0.034498,15.439148
0.000000,0.000000,0.000000,0.701460,0.059648,4.885379,0.051580,48.208871
0.000000,0.000000,0.000000,0.488965,0.039561,3.907169,0.000511,25.169977
0.000000,0.000000,0.000000,0.519606,0.135641,4.236619,0.083618,15.710778
0.000000,0.000000,0.000000,0.498764,0.045445,4.478420,0.067627,24.740092
0.000000,0.000000,0.000000,0.516187,0.048709,4.732770,0.081493,15.556331
0.000000,0.000000,0.000000,0.547433,0.059143,4.434109,0.041123,15.406923
0.000000,0.000000,0.000000,0.481965,0.104567,8.340905,0.123988,16.363328
0.000000,0.000000,0.000000,0.498577,0.050805,5.286901,0.035757,15.291979
0.000000,0.000000,0.000000,0.490454,0.059509,5.282174,0.050482,15.502915
0.000000,0.000000,0.000000,0.492008,0.043164,3.982823,0.025428,15.788140
0.000000,0.000000,0.000000,0.530905,0.109310,9.183880,0.129447,14.424443
0.000000,0.000000,0.000000,0.522069,0.047633,5.164324,0.031253,14.810730
