#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.407031,0.066512,31.667350,97.520116,6.050861,141.713245
6.287560,0.042190,30.520201,90.697079,7.762582,135.311120
6.005488,0.066047,29.704581,86.209035,7.845569,129.832387
6.169031,0.053978,30.211109,86.548732,7.606309,130.590681
6.193503,0.051979,31.375048,87.687427,8.731034,134.039972
6.032090,0.046084,31.102302,87.037266,6.294243,130.513215
7.625449,0.082447,32.053859,80.814475,7.108241,127.685696
5.467473,0.071296,27.354510,81.654419,7.373192,121.922351
8.490572,0.082790,37.698427,80.510838,6.761122,133.545394
5.525557,0.063386,27.266158,92.187818,8.253104,133.296953
5.433309,0.067060,27.974738,83.492925,6.507694,123.477409
7.549914,0.060587,33.452265,75.240839,8.357580,124.662278
5.533148,0.050942,27.859569,82.638309,7.311627,123.395042
7.388904,0.056101,33.380864,74.189978,7.324349,122.341833
5.826138,0.055993,28.257384,81.691682,7.702340,123.535257
5.856179,0.062616,29.053866,75.918242,7.664586,118.557011
7.494337,0.047754,32.612371,73.154073,7.388512,120.698054
5.361548,0.050396,27.896771,73.106520,6.626589,113.043453
5.423025,0.056514,28.130972,76.016684,8.156345,117.784691
5.928987,0.058552,32.291560,81.194646,6.944472,126.419774
5.366595,0.064015,28.113493,70.240457,6.976936,110.762764
26.451353,0.169196,50.333801,72.668242,12.509503,162.132852
6.289584,0.055680,30.357798,78.476443,7.047771,122.228344
9.514485,0.070831,43.787845,72.607854,7.200252,133.182682
7.202835,0.067385,34.665816,74.905379,8.733506,125.576160
10.201772,0.096628,40.739509,73.223185,8.649592,132.911907
7.037785,0.080183,33.829715,74.496769,8.161999,123.607952
6.999908,0.073056,34.618780,73.108466,12.021196,126.823368
7.056903,0.070959,35.807914,77.360762,10.906925,131.204444
7.188928,0.067875,40.436134,78.421897,8.564429,134.680543
7.544462,0.066461,38.265210,79.037204,7.752236,132.666889
8.241770,0.083342,40.734492,74.110002,11.631564,134.802134
8.511048,0.053609,43.799407,78.752539,8.197122,139.315039
8.658197,0.056748,39.523444,74.279939,12.063546,134.583075
8.225922,0.059832,37.578648,76.414137,9.887696,132.167973
8.727074,0.047454,42.200129,75.270483,10.464908,136.711438
9.065515,0.049985,41.951127,81.427871,14.336500,146.832242
8.304051,0.063957,38.627029,84.760541,9.388324,141.145678
8.734286,0.064014,40.200404,79.086057,9.540518,137.626583
9.110455,0.063532,39.357953,86.751687,12.073878,147.359188
8.464617,0.074424,43.663924,84.331180,11.226461,147.761822
8.320753,0.075870,38.404607,83.568879,10.269088,140.640631
8.364629,0.070463,39.469164,86.866924,16.907805,151.680208
9.014095,0.071068,36.819660,84.223966,12.851231,142.981881
8.985216,0.078993,37.989864,88.494729,10.708378,146.258441
9.559743,0.078904,43.092843,90.090855,15.649460,158.472888
9.114213,0.074852,36.539406,116.551387,13.509671,175.790847
8.799698,0.116521,40.275117,88.373718,13.547135,151.113313
7.949992,0.059453,37.599842,88.772404,12.040878,146.423921
8.010972,0.071794,37.706357,88.332255,15.202541,149.325287
7.715774,0.088799,56.308498,90.583917,17.318582,172.017108
7.990253,0.121997,55.860613,86.839436,12.544288,163.357615
11.518101,0.125060,59.003429,87.755021,14.896348,173.299329
8.950815,0.102574,57.364112,88.701068,13.346995,168.466886
